,unemployment
07/18/2020,1376925
07/25/2020,1207045
08/01/2020,988309
08/08/2020,838734
08/15/2020,889738
08/22/2020,825761
08/29/2020,837008
09/05/2020,865995
09/12/2020,796015
09/19/2020,827212
09/26/2020,798996
10/03/2020,731249
10/10/2020,829742
10/17/2020,766520
10/24/2020,738709
10/31/2020,743904
11/07/2020,725361
11/14/2020,749338
11/21/2020,835914
11/28/2020,718522
12/05/2020,956473
12/12/2020,941910
12/19/2020,872941
12/26/2020,835972
01/02/2021,919680
01/09/2021,1113098
01/16/2021, 
01/23/2021, 
01/30/2021, 
02/06/2021, 
02/13/2021, 
02/20/2021, 
02/27/2021, 
03/06/2021, 
03/13/2021, 
03/20/2021, 
03/27/2021, 
04/03/2021, 
