,unemployment
09/13/1975,341000
09/20/1975,336000
09/27/1975,342000
10/04/1975,365000
10/11/1975,385000
10/18/1975,332000
10/25/1975,372000
11/01/1975,378000
11/08/1975,414000
11/15/1975,371000
11/22/1975,419000
11/29/1975,403000
12/06/1975,487000
12/13/1975,456000
12/20/1975,463000
12/27/1975,573000
01/03/1976,540000
01/10/1976,708000
01/17/1976,563000
01/24/1976,486000
01/31/1976,450000
02/07/1976,452000
02/14/1976,391000
02/21/1976,367000
02/28/1976,353000
03/06/1976,366000
03/13/1976,343000
03/20/1976,330000
03/27/1976,314000
04/03/1976,334000
04/10/1976,366000
04/17/1976,316000
04/24/1976,311000
05/01/1976,313000
05/08/1976,345000
05/15/1976,308000
05/22/1976,311000
05/29/1976,310000
06/05/1976,307000
06/12/1976,351000
06/19/1976,342000
06/26/1976,339000
07/03/1976,401000
07/10/1976,445000
07/17/1976,455000
07/24/1976,418000
07/31/1976,401000
08/07/1976,373000
08/14/1976,329000
08/21/1976,320000
08/28/1976,301000
09/04/1976,321000
09/11/1976,280000
09/18/1976,320000
09/25/1976,327000
10/02/1976,332000
10/09/1976,388000
10/16/1976,325000
10/23/1976,361000
10/30/1976,370000
11/06/1976,387000
11/13/1976,363000
11/20/1976,430000
11/27/1976,369000
12/04/1976,500000
12/11/1976,494000
12/18/1976,434000
12/25/1976,466000
01/01/1977,558000
01/08/1977,685000
01/15/1977,597000
01/22/1977,589000
01/29/1977,518000
02/05/1977,704000
02/12/1977,552000
02/19/1977,422000
02/26/1977,360000
03/05/1977,367000
03/12/1977,335000
03/19/1977,321000
03/26/1977,298000
04/02/1977,296000
04/09/1977,367000
04/16/1977,316000
04/23/1977,314000
04/30/1977,305000
05/07/1977,333000
05/14/1977,309000
05/21/1977,293000
05/28/1977,298000
06/04/1977,283000
06/11/1977,308000
06/18/1977,310000
06/25/1977,321000
07/02/1977,348000
07/09/1977,431000
07/16/1977,424000
07/23/1977,391000
07/30/1977,380000
08/06/1977,379000
08/13/1977,319000
08/20/1977,298000
08/27/1977,282000
09/03/1977,289000
09/10/1977,260000
09/17/1977,289000
09/24/1977,293000
10/01/1977,275000
10/08/1977,345000
10/15/1977,287000
10/22/1977,322000
10/29/1977,309000
11/05/1977,352000
11/12/1977,310000
11/19/1977,367000
11/26/1977,342000
12/03/1977,430000
12/10/1977,448000
12/17/1977,412000
12/24/1977,450000
12/31/1977,535000
01/07/1978,559000
01/14/1978,579000
01/21/1978,500000
01/28/1978,445000
02/04/1978,447000
02/11/1978,438000
02/18/1978,455000
02/25/1978,372000
03/04/1978,360000
03/11/1978,342000
03/18/1978,302000
03/25/1978,280000
04/01/1978,278000
04/08/1978,338000
04/15/1978,279000
04/22/1978,277000
04/29/1978,269000
05/06/1978,291000
05/13/1978,268000
05/20/1978,266000
05/27/1978,256000
06/03/1978,242000
06/10/1978,292000
06/17/1978,287000
06/24/1978,297000
07/01/1978,347000
07/08/1978,428000
07/15/1978,421000
07/22/1978,387000
07/29/1978,371000
08/05/1978,376000
08/12/1978,326000
08/19/1978,287000
08/26/1978,264000
09/02/1978,249000
09/09/1978,246000
09/16/1978,262000
09/23/1978,254000
09/30/1978,249000
10/07/1978,323000
10/14/1978,262000
10/21/1978,287000
10/28/1978,280000
11/04/1978,302000
11/11/1978,286000
11/18/1978,345000
11/25/1978,350000
12/02/1978,427000
12/09/1978,427000
12/16/1978,390000
12/23/1978,447000
12/30/1978,515000
01/06/1979,559000
01/13/1979,680000
01/20/1979,488000
01/27/1979,423000
02/03/1979,424000
02/10/1979,418000
02/17/1979,384000
02/24/1979,364000
03/03/1979,358000
03/10/1979,346000
03/17/1979,315000
03/24/1979,296000
03/31/1979,300000
04/07/1979,449000
04/14/1979,424000
04/21/1979,340000
04/28/1979,303000
05/05/1979,307000
05/12/1979,290000
05/19/1979,280000
05/26/1979,287000
06/02/1979,262000
06/09/1979,322000
06/16/1979,312000
06/23/1979,343000
06/30/1979,366000
07/07/1979,458000
07/14/1979,446000
07/21/1979,445000
07/28/1979,417000
08/04/1979,428000
08/11/1979,360000
08/18/1979,329000
08/25/1979,313000
09/01/1979,312000
09/08/1979,285000
09/15/1979,311000
09/22/1979,309000
09/29/1979,303000
10/06/1979,379000
10/13/1979,335000
10/20/1979,342000
10/27/1979,353000
11/03/1979,372000
11/10/1979,392000
11/17/1979,401000
11/24/1979,379000
12/01/1979,513000
12/08/1979,521000
12/15/1979,455000
12/22/1979,580000
12/29/1979,596000
01/05/1980,574000
01/12/1980,804000
01/19/1980,648000
01/26/1980,515000
02/02/1980,471000
02/09/1980,493000
02/16/1980,418000
02/23/1980,415000
03/01/1980,407000
03/08/1980,413000
03/15/1980,398000
03/22/1980,392000
03/29/1980,399000
04/05/1980,451000
04/12/1980,535000
04/19/1980,495000
04/26/1980,482000
05/03/1980,491000
05/10/1980,526000
05/17/1980,539000
05/24/1980,525000
05/31/1980,477000
06/07/1980,562000
06/14/1980,511000
06/21/1980,529000
06/28/1980,563000
07/05/1980,584000
07/12/1980,643000
07/19/1980,628000
07/26/1980,569000
08/02/1980,536000
08/09/1980,494000
08/16/1980,435000
08/23/1980,410000
08/30/1980,397000
09/06/1980,374000
09/13/1980,414000
09/20/1980,381000
09/27/1980,363000
10/04/1980,410000
10/11/1980,417000
10/18/1980,355000
10/25/1980,384000
11/01/1980,395000
11/08/1980,416000
11/15/1980,403000
11/22/1980,440000
11/29/1980,407000
12/06/1980,534000
12/13/1980,481000
12/20/1980,499000
12/27/1980,546000
01/03/1981,580000
01/10/1981,839000
01/17/1981,638000
01/24/1981,521000
01/31/1981,490000
02/07/1981,500000
02/14/1981,439000
02/21/1981,430000
02/28/1981,432000
03/07/1981,414000
03/14/1981,385000
03/21/1981,365000
03/28/1981,356000
04/04/1981,383000
04/11/1981,401000
04/18/1981,350000
04/25/1981,379000
05/02/1981,342000
05/09/1981,369000
05/16/1981,340000
05/23/1981,342000
05/30/1981,301000
06/06/1981,384000
06/13/1981,367000
06/20/1981,376000
06/27/1981,387000
07/04/1981,430000
07/11/1981,516000
07/18/1981,481000
07/25/1981,429000
08/01/1981,444000
08/08/1981,419000
08/15/1981,369000
08/22/1981,351000
08/29/1981,352000
09/05/1981,396000
09/12/1981,331000
09/19/1981,392000
09/26/1981,392000
10/03/1981,416000
10/10/1981,476000
10/17/1981,408000
10/24/1981,450000
10/31/1981,479000
11/07/1981,534000
11/14/1981,483000
11/21/1981,522000
11/28/1981,535000
12/05/1981,726000
12/12/1981,657000
12/19/1981,644000
12/26/1981,702000
01/02/1982,694300
01/09/1982,1073500
01/16/1982,761700
01/23/1982,771200
01/30/1982,692300
02/06/1982,671000
02/13/1982,532800
02/20/1982,522900
02/27/1982,536300
03/06/1982,566300
03/13/1982,515100
03/20/1982,510500
03/27/1982,501500
04/03/1982,516600
04/10/1982,606300
04/17/1982,540300
04/24/1982,518600
05/01/1982,475600
05/08/1982,516500
05/15/1982,486500
05/22/1982,486300
05/29/1982,485800
06/05/1982,478600
06/12/1982,541600
06/19/1982,508100
06/26/1982,507700
07/03/1982,594400
07/10/1982,631400
07/17/1982,647000
07/24/1982,576100
07/31/1982,562600
08/07/1982,569200
08/14/1982,536400
08/21/1982,510400
08/28/1982,502300
09/04/1982,537600
09/11/1982,467700
